epoch (ms),time (01:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1558198234592,2019-05-18T18:50:34.592,27.040,0.202,-0.872,0.371
1558198234672,2019-05-18T18:50:34.672,27.120,0.202,-0.872,0.371
1558198234752,2019-05-18T18:50:34.752,27.200,0.201,-0.871,0.370
1558198234832,2019-05-18T18:50:34.832,27.280,0.202,-0.872,0.371
1558198234912,2019-05-18T18:50:34.912,27.360,0.202,-0.872,0.371
1558198234992,2019-05-18T18:50:34.992,27.440,0.202,-0.871,0.371
1558198235072,2019-05-18T18:50:35.072,27.520,0.201,-0.872,0.371
1558198235152,2019-05-18T18:50:35.152,27.600,0.201,-0.871,0.372
1558198235232,2019-05-18T18:50:35.232,27.680,0.202,-0.871,0.370
1558198235312,2019-05-18T18:50:35.312,27.760,0.202,-0.872,0.370
1558198235392,2019-05-18T18:50:35.392,27.840,0.201,-0.872,0.371
1558198235472,2019-05-18T18:50:35.472,27.920,0.202,-0.872,0.371
1558198235552,2019-05-18T18:50:35.552,28.000,0.202,-0.871,0.372
1558198235632,2019-05-18T18:50:35.632,28.080,0.202,-0.872,0.370
1558198235712,2019-05-18T18:50:35.712,28.160,0.202,-0.871,0.371
1558198235792,2019-05-18T18:50:35.792,28.240,0.201,-0.872,0.370
1558198235872,2019-05-18T18:50:35.872,28.320,0.201,-0.871,0.371
1558198235952,2019-05-18T18:50:35.952,28.400,0.202,-0.872,0.371
1558198236032,2019-05-18T18:50:36.032,28.480,0.202,-0.872,0.371
1558198236112,2019-05-18T18:50:36.112,28.560,0.202,-0.871,0.370
1558198236192,2019-05-18T18:50:36.192,28.640,0.202,-0.871,0.371
1558198236272,2019-05-18T18:50:36.272,28.720,0.202,-0.872,0.371
1558198236352,2019-05-18T18:50:36.352,28.800,0.202,-0.872,0.370
